"","X_0001","X_0002","X_0004","X_0005","X_0006","X_0007","X_0008","X_0009","X_0010","X_0011","X_0012","X_0013","X_0015","X_0017","X_0018","X_0019","X_0023","X_0025","X_0026","X_0031","X_0034","X_0036","X_0037","X_0040","X_0041","X_0043","X_0051","X_0064","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0099","X_0101","X_0117","X_0118","X_0119","X_0138","X_0150","X_0161","X_0171","X_0209","X_0226","X_0316","X_0365"
"S_00045",4842,0,85,0,0,93,1113,0,0,0,0,195,790,4362,0,157,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,412,0,0,722,327,0,0,0,0,0,0,0
"S_00141",8177,0,0,0,0,0,172,0,0,0,0,0,943,5419,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,37,0,0,358,752,0,0,0,0,0,37,0
"S_00237",6428,0,200,0,0,0,1301,0,0,0,0,0,563,3540,0,1442,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,243,512,0,0,0,0,0,51,0
"S_00333",6925,0,0,0,0,0,523,0,0,0,0,0,50,2575,0,630,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00429",2201,0,644,0,0,0,359,0,0,0,0,0,0,1186,0,234,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00525",5155,0,1025,0,0,60,363,0,0,0,0,0,657,2732,0,1513,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,0,0,0,0,114,90,0,0,0,0,0,164,0
"S_00621",6600.5,0,704,0,0,135,478,0,0,0,0,0,681.5,2319,0,6412,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558.5,0,0,0,0,128.5,45,0,0,0,0,0,168.5,0
"S_00717",8046,0,383,0,0,210,593,0,0,0,0,0,706,1906,0,11311,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,0,0,0,0,143,0,0,0,0,0,0,173,0
"S_00813",18153,0,2262,0,0,652,1194,0,0,0,0,0,1050,4181,0,24614,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185,0,0,0,0,452,0,0,0,0,0,0,0,0
"S_00909",8284,0,944,0,0,377,482,0,0,0,0,0,881,3502,0,10978,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2223,0,0,0,0,189,0,0,0,0,0,0,199,0
"S_01005",13176,0,832,0,0,574,1042,0,0,0,0,0,1487,3010,0,18669,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,1792,0,0,0,0,386,0,0,0,0,0,0,199,0
"S_01101",8523,0,2537,0,0,0,0,0,0,0,0,0,4489,2372,0,6150,2153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,438,0,0,0,0,0,0,0,0
"S_01197",12584,0,7278,0,0,1525,1646,0,0,0,0,0,5638,4667,0,4655,8857,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,368,0,0,0,0,476,0,0,0,0,0,0,277,0
"S_01293",12283,0,3453,0,0,730,570,0,0,0,0,0,2000,2594,0,18809,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,53,0,0,0,0,205,0,0,0,0,0,0,122,0
"S_01389",5905,0,1684,0,0,191,116,0,0,0,0,0,916,1290,0,6884,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,83,0,0,0,0,0,0,75,0
"S_01485",5512,0,5566,0,0,367,422,0,0,0,0,0,272,2123,0,204,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01581",14532,0,8151,0,0,389,265,0,0,0,0,0,1835,1645,0,22914,2422,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,339,0,0,0,0,0,174,0,0,0,0,0,0,99,0
"S_01677",15969,0,10043,0,0,666,656,0,0,0,0,0,8008,1416,0,1688,11881,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,469,0,0,0,0,0,103,0,0,0,0,0,0,56,0
"S_01773",9956,0,6448,0,0,473,699,0,0,0,0,0,2535,815,0,2761,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,281,0,0,0,0,0,55,0,0,0,0,0,0,0,0
"S_01869",14881,0,7511,0,0,677,253,0,0,0,0,0,11616,576,0,4003,9341,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,222,0,0,0,0,0,283,0,0,0,0,0,0,0,0
"S_01965",14507,0,6781.5,71,0,1264.5,367.5,0,0,0,0,0,7844.5,657,0,4449.5,7207,0,0,0,0,0,0,0,0,57,0,0,0,0,302,0,210.5,0,0,0,0,0,205.5,0,0,0,0,0,0,10.5,0
"S_02061",14133,0,6052,142,0,1852,482,0,0,0,0,0,4073,738,0,4896,5073,0,0,0,0,0,0,0,0,114,0,0,0,0,341,0,199,0,0,0,0,0,128,0,0,0,0,0,0,21,0
"S_02157",14544,0,6585,1404,0,3168,764,0,0,0,0,0,2032,808,0,2833,3964,0,0,0,0,0,0,0,0,193,0,0,0,0,671,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02253",42061,0,12645,10930,0,6686,1337,0,0,0,0,0,20551,1715,0,6976,7180,0,0,0,0,0,0,0,0,756,0,0,0,0,2442,0,407,0,0,0,0,0,494,0,0,0,0,0,0,0,0
"S_02349",33145,0,2324,2371,0,3138,1069,0,0,0,0,0,1185,1999,0,6531,1929,0,0,0,0,0,0,0,0,93,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02445",11533,0,3272,9239,0,3641,666,0,0,0,0,0,4050,1091,48,1099,1756,0,0,0,0,0,0,0,0,176,0,0,0,0,449,0,241,0,0,0,0,0,112,0,0,0,0,0,0,0,0
"S_02541",9399,0,1440,4552,0,806,465,0,0,0,0,0,218,533,62,403,979,0,0,0,0,0,0,0,0,88,0,0,0,0,120,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"S_02637",29099,0,1467,8287,0,3720,1364,0,0,0,0,0,1385,1447,186,3989,1633,0,0,0,0,0,0,0,0,103,0,0,0,0,331,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
"S_02733",29140,0,1282,10772,0,2411,1171,0,0,0,0,0,1519,1728,418,2801,1421,0,0,0,0,0,0,0,0,251,0,0,0,0,585,0,362,0,0,0,0,0,209,0,0,0,0,0,0,0,0
"S_02829",30552,0,1217,16645,0,4672,1260,0,0,0,0,0,1847,2781,739,3194,2216,0,0,0,0,0,0,0,0,217,0,0,0,0,804,0,196,0,0,0,0,0,391,0,0,0,0,0,0,0,0
"S_02925",32032,0,979,13857,0,3083,1306,0,0,0,0,0,1796,2684,1161,2576,889,0,0,0,0,0,0,0,0,109,0,0,0,0,617,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0
"S_03021",23637,0,2884,6412,0,859,767,0,0,0,0,0,3620,1641,1089,1181,721,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0
"S_03117",12769,0,3031,4179,0,231,713,0,0,0,0,0,112,535,647,172,442,0,0,0,0,0,0,0,0,40,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03213",13595,0,3515,6749,0,937,724,0,0,0,0,0,164,1246,1680,145,406,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03309",22412,0,1539,5942,0,960,564,0,0,0,0,0,533,1447,1630,853,183,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0
"S_03405",12045,0,8456,2235,0,159,310,0,0,0,0,0,159,303,1060,159,130,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03501",16988,0,5513,5896,0,505,839,0,0,0,0,0,179,1556,2590,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03597",28673,0,5352,7684,0,876,472,0,0,0,0,0,1658,1726,3074,526,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0
"S_03693",36544,0,8581,7021,0,1057,555,0,0,0,0,0,1526,2427,2219,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0
"S_03789",15532,0,6940,4951,0,0,479,0,0,0,0,0,393,1395,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03885",23386,0,10513,6641,0,325,576,0,0,0,0,0,826,2728,4155,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03981",19960,0,2195,2255,0,247,179,0,0,0,0,0,1651,1591,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0
"S_04077",23485,0,2198,4231,0,262,186,0,0,0,0,0,1148,1498,1334,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0
"S_04173",15234,0,2700,0,0,0,0,0,0,0,0,0,4435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04269",33862,0,14792,14402,0,436,654,0,0,0,0,0,1812,2488,7431,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04365",16492,0,2445,2084,0,0,107,0,0,0,0,0,1148,1314,574,0,18,0,0,0,0,0,598,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0
"S_04461",12423,0,3774,4051,0,0,191,0,0,0,0,0,494,765,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04557",12046,0,4135,5003,0,0,138,0,0,0,0,0,606,648,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_04653",7883,0,2517,3862,0,0,82,0,0,87,0,0,520,333,1728,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
