"","X_0002","X_0003","X_0005","X_0009","X_0011","X_0013","X_0014","X_0016","X_0019","X_0020","X_0021","X_0022","X_0024","X_0032","X_0033","X_0035","X_0036","X_0038","X_0039","X_0042","X_0044","X_0045","X_0046","X_0048","X_0049","X_0061","X_0063","X_0078","X_0082","X_0083","X_0087","X_0090","X_0095","X_0098","X_0107","X_0110","X_0128","X_0135","X_0137","X_0151","X_0156","X_0158","X_0163","X_0169","X_0176","X_0185","X_0186","X_0190","X_0192","X_0197","X_0201","X_0213","X_0215","X_0223","X_0244","X_0251","X_0259","X_0260","X_0262","X_0263","X_0267","X_0270","X_0277","X_0294","X_0300","X_0310","X_0322","X_0334","X_0337","X_0359","X_0390","X_0391","X_0491"
"S_00009",0,0,0,0,2684,0,404,0,736,0,0,796,178,0,0,0,0,0,546,0,0,0,0,249,0,0,0,0,0,166,0,523,0,3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00105",0,0,0,0,1549.5,0,202,0,458.5,105,0,579.5,115,0,0,0,0,0,301,0,0,0,0,183,0,0,0,22,0,83,0,346,0,2002.5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"S_00201",0,0,0,0,415,0,0,0,181,210,0,363,52,0,0,0,0,0,56,0,0,0,0,117,0,0,0,44,0,0,0,169,0,786,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
"S_00297",117,0,0,0,427,0,572,0,326,902,0,942,101,0,0,0,0,0,193,0,0,0,0,173,0,0,0,105,0,52,8,326,0,2565,0,0,0,0,0,0,0,20,81,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,0,0,20,113,0
"S_00393",58.5,0,0,0,284.5,0,545.5,0,257,1047.5,0,702.5,67,0,0,0,0,0,171,0,0,0,0,251.5,0,0,0,100.5,0,67.5,4,239,0,1859,0,0,0,0,0,0,0,10,52,0,0,0,0,0,0,30,0,0,0,0,10,0,0,6.5,0,0,0,0,0,0,0,0,16,28,0,0,10,73,0
"S_00489",58.5,0,0,0,284.5,0,545.5,0,257,1047.5,0,702.5,67,0,0,0,0,0,171,0,0,0,0,251.5,0,0,0,100.5,0,67.5,4,239,0,1859,0,0,0,0,0,0,0,10,52,0,0,0,0,0,0,30,0,0,0,0,10,0,0,6.5,0,0,0,0,0,0,0,0,16,28,0,0,10,73,0
"S_00585",0,0,0,0,142,0,519,0,188,1193,0,463,33,0,0,0,0,0,149,0,0,0,0,330,0,0,0,96,0,83,0,152,0,1153,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"S_00681",0,0,0,0,149,0,553,0,169,1224,0,541,51,0,0,0,0,0,125,0,0,0,0,451,0,0,0,78,0,47,0,133,0,1310,0,0,0,0,0,0,0,0,59,0,20,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"S_00777",0,0,0,0,1002,0,3686,0,462,2941,0,2029,0,0,0,0,0,0,0,0,0,0,0,1785,0,0,0,270,0,0,0,437,0,1464,0,0,0,0,0,0,0,0,411,103,0,0,0,0,0,0,0,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00873",0,0,0,0,568,0,2809,0,382,2496,0,1799.5,65.5,0,0,0,0,0,41,0,0,0,0,1616,0,0,0,286,43,44.5,31.5,459,0,1392,0,0,0,0,0,0,0,0,315.5,98,63.5,0,0,0,0,0,0,0,0,0,522,0,0,13,0,20.5,0,0,13,0,0,0,0,104.5,18.5,0,13,0,0
"S_00969",0,0,0,0,134,0,1932,0,302,2051,0,1570,131,0,0,0,0,0,82,0,0,0,0,1447,0,0,0,302,86,89,63,481,0,1320,0,0,0,0,0,0,0,0,220,93,127,0,0,0,0,0,0,0,0,0,351,0,0,26,0,41,0,0,26,0,0,0,0,209,37,0,26,0,0
"S_01065",31,0,0,0,135,0,1648,0,288,1747,0,1661,197,0,0,0,0,0,109,0,0,0,0,1470,0,0,0,192,127,80,83,329,0,1000,0,0,0,0,0,0,21,0,233,119,127,0,0,0,0,0,0,0,0,0,360,0,0,16,0,0,0,0,0,0,0,0,10,41,62,0,21,0,0
"S_01161",0,0,0,0,201,0,3235,0,201,2560,0,4598,237,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,142,0,0,178,616,0,628,0,0,0,0,0,0,0,0,675,201,107,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
"S_01257",0,0,0,0,252.5,0,2146,0,202,2603,0,3233,178.5,0,0,0,0,0,0,0,0,0,0,1267,0,0,0,131,0,0,158.5,431.5,0,611.5,0,0,0,0,0,0,0,0,416.5,132,120,0,0,0,0,0,0,0,0,0,293.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0
"S_01353",0,0,0,0,304,0,1057,0,203,2646,0,1868,120,0,0,0,0,0,0,0,0,0,0,614,0,0,0,120,0,0,139,247,0,595,0,0,0,0,0,0,0,0,158,63,133,0,0,0,0,0,0,0,0,0,184,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01449",0,0,0,0,152,0,4028,0,300,4455,0,3709,285,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,79,241,108,177,634,0,958,0,0,0,0,0,0,142,0,727,88,142,0,0,0,0,0,0,0,0,0,113,0,0,0,0,128,0,0,74,0,0,0,0,187,69,0,44,0,0
"S_01545",0,0,0,0,156,0,1231,0,156,2630,0,2987,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,0,100,0,0,87,206,0,275,0,0,0,0,0,0,144,0,375,119,81,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01641",0,0,0,0,100,0,1721,0,312.5,2415.5,0,3546,61.5,0,0,0,0,0,0,0,0,0,0,1522.5,0,0,0,151,0,0,115,386.5,0,201.5,0,0,0,0,0,0,136,0,335.5,133.5,95,0,0,0,0,0,0,0,0,0,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01737",0,0,0,0,44,0,2211,0,469,2201,0,4105,123,0,0,0,0,0,0,0,0,0,0,1895,0,0,0,202,0,0,143,567,0,128,0,0,0,0,0,0,128,0,296,148,109,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01833",0,0,0,0,105,0,2516,97,245,5037,0,4589,261,0,0,0,0,0,113,0,0,0,0,2657,0,0,0,238,296,0,238,888,0,577,0,0,0,0,0,0,413,0,495,62,86,0,0,0,0,0,0,0,0,0,86,0,0,19,0,82,0,0,39,0,0,0,0,78,62,0,58,0,0
"S_01929",0,0,0,0,139,0,2518.5,81,180.5,4279.5,0,3952.5,245,0,0,0,0,0,102,0,0,0,0,2041.5,0,0,0,192.5,438,0,223.5,836,0,431.5,21,0,0,0,0,0,427,0,485,52,82.5,0,0,0,0,0,0,0,0,0,55.5,0,0,30.5,0,41,0,0,38,0,0,0,0,39,48,0,40.5,0,5.5
"S_02025",0,0,0,0,139,0,2518.5,81,180.5,4279.5,0,3952.5,245,0,0,0,0,0,102,0,0,0,0,2041.5,0,0,0,192.5,438,0,223.5,836,0,431.5,21,0,0,0,0,0,427,0,485,52,82.5,0,0,0,0,0,0,0,0,0,55.5,0,0,30.5,0,41,0,0,38,0,0,0,0,39,48,0,40.5,0,5.5
"S_02121",0,0,0,0,173,0,2521,65,116,3522,0,3316,229,0,0,0,0,0,91,0,0,0,0,1426,0,0,0,147,580,0,209,784,0,286,42,0,0,0,0,0,441,0,475,42,79,0,0,0,0,0,0,0,0,0,25,0,0,42,0,0,0,0,37,0,0,0,0,0,34,0,23,0,11
"S_02217",0,0,0,0,652,0,2483,380,3758,9036,0,9240,2142,0,0,0,0,0,536,0,0,0,0,4907,0,0,0,1256,2541,97,1120,4459,0,1139,428,0,0,0,0,0,711,0,2347,370,915,0,0,0,0,0,0,0,0,0,107,0,0,0,0,127,0,0,0,0,0,0,0,0,88,0,68,0,0
"S_02313",0,0,0,0,295,0,5476,0,958,3659,0,3340,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,614,0,0,270,933,0,0,0,0,0,0,0,0,368,0,442,0,270,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02409",0,0,0,0,270.5,0,3021,45,707.5,2963,0,2872,216,0,0,0,0,0,120.5,0,0,0,0,1259,0,0,0,465,274,0,261.5,1023.5,0,97.5,28,0,0,0,0,0,455.5,0,449.5,42,219.5,0,0,0,0,0,0,0,0,0,195,0,0,0,0,36,0,0,6,0,0,0,0,0,14,0,0,0,0
"S_02505",0,0,0,0,246,0,566,90,457,2267,0,2404,432,0,0,0,0,0,241,0,0,0,0,1216,0,0,0,316,548,0,253,1114,0,195,56,0,0,0,0,0,543,0,457,84,169,0,0,0,0,0,0,0,0,0,95,0,0,0,0,72,0,0,12,0,0,0,0,0,28,0,0,0,0
"S_02601",0,0,0,0,70,0,1980,111,732,2047,0,1607,192,0,0,0,0,0,106,0,0,0,0,577,0,0,0,179,484,0,199,624,0,140,0,0,0,0,0,0,437,0,344,36,96,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02697",0,0,0,0,65.5,0,2553.5,119.5,449.5,2542.5,0,1796.5,179.5,0,0,0,0,0,53,0,0,0,0,452.5,0,0,0,131,242,0,172,634.5,0,70,0,0,0,0,0,0,341,0,227.5,46,78.5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02793",0,0,0,0,65.5,0,2553.5,119.5,449.5,2542.5,0,1796.5,179.5,0,0,0,0,0,53,0,0,0,0,452.5,0,0,0,131,242,0,172,634.5,0,70,0,0,0,0,0,0,341,0,227.5,46,78.5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02889",0,0,0,0,61,0,3127,128,167,3038,0,1986,167,0,0,0,0,0,0,0,0,0,0,328,0,0,0,83,0,0,145,645,0,0,0,0,0,0,0,0,245,0,111,56,61,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02985",0,0,0,0,45,0,2235,67,22,2352,0,902,131,0,0,0,12,0,57,0,0,0,0,193,0,0,0,35,104,0,99,270,0,92,32,0,0,0,0,0,245,0,82,40,15,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03081",0,0,0,0,53,0,727,0,53,1893,0,727,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,147,153,0,0,0,0,0,0,0,0,0,0,0,167,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03177",0,0,0,0,26.5,0,703,24.5,26.5,1648,0,538,16,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,94,76.5,0,16,26.5,0,10,8,0,0,0,0,0,153.5,0,60.5,32.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03273",0,0,0,0,26.5,0,703,24.5,26.5,1648,0,538,16,0,0,0,0,0,0,0,0,0,0,112.5,0,0,0,94,76.5,0,16,26.5,0,10,8,0,0,0,0,0,153.5,0,60.5,32.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03369",0,0,0,0,0,0,679,49,0,1403,0,349,32,0,0,0,0,0,0,0,0,0,0,45,0,0,0,41,0,0,32,53,0,20,16,0,0,0,0,0,140,0,34,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03465",0,0,0,0,108.5,0,854,63,30,2207.5,0,289.5,48.5,0,0,0,0,0,91,0,0,0,0,201,0,0,0,95.5,37.5,0,56,61.5,0,273.5,8,0,0,0,0,0,160,0,17,6,0,0,0,0,0,0,0,0,0,0,14,0,0,7.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0
"S_03561",0,0,0,0,108.5,0,854,63,30,2207.5,0,289.5,48.5,0,0,0,0,0,91,0,0,0,0,201,0,0,0,95.5,37.5,0,56,61.5,0,273.5,8,0,0,0,0,0,160,0,17,6,0,0,0,0,0,0,0,0,0,0,14,0,0,7.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0
"S_03657",0,0,0,0,217,0,1029,77,60,3012,0,230,65,0,0,0,0,0,182,0,0,0,0,357,0,0,0,150,75,0,80,70,0,527,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
"S_03753",0,0,0,0,17,0,403,62,0,1030,0,167,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,39,0,0,33,0,0,19,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03849",0,0,0,0,25.5,0,2454,158.5,0,2146,0,253.5,36,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,41.5,0,0,69.5,0,0,18,0,0,0,0,0,0,141.5,0,15.5,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03945",0,0,0,0,25.5,0,2454,158.5,0,2146,0,253.5,36,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,41.5,0,0,69.5,0,0,18,0,0,0,0,0,0,141.5,0,15.5,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
