"","X_0001","X_0002","X_0003","X_0004","X_0005","X_0006","X_0011","X_0013","X_0014","X_0015","X_0016","X_0018","X_0019","X_0021","X_0022","X_0024","X_0026","X_0030","X_0031","X_0032","X_0033","X_0036","X_0037","X_0038","X_0039","X_0040","X_0044","X_0047","X_0048","X_0049","X_0050","X_0054","X_0067","X_0069","X_0075","X_0076","X_0083","X_0084","X_0086","X_0087","X_0089","X_0090","X_0098","X_0100","X_0102","X_0107","X_0109","X_0111","X_0117","X_0118","X_0128","X_0130","X_0141","X_0143","X_0147","X_0164","X_0166","X_0171","X_0173","X_0179","X_0181","X_0185","X_0191","X_0198","X_0222","X_0232","X_0241","X_0243","X_0252","X_0254","X_0275","X_0291","X_0309","X_0361","X_0399"
"S_00041",0,18539,0,0,0,0,0,0,0,0,0,0,0,0,250,587,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,1577,894,0,0,0,0,0,0,0,6712,0,0,0,0,0,38,0,0,0,0,0,0,0,990,0,0,0,0,173,0,337,0,0,0,0,0,0,0,0,0
"S_00137",0,12506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,1778,0,0,0,0,0,0,0,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,0,218,0,1561,0,0,0,0,0,0,0,0,0
"S_00233",0,12937,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093,1983,0,0,0,0,0,0,0,6571,73,0,0,0,0,0,0,0,0,0,0,0,0,596,136,0,0,0,115,0,743,0,0,0,0,0,0,0,0,0
"S_00329",0,15439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,464,0,0,0,0,0,0,0,11102,99,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,166,0,342,0,0,0,0,0,0,0,0,0
"S_00425",0,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,333,0,0,0,0,0,0,0,3275,81,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,48,0,124,0,0,0,0,0,0,0,0,0
"S_00521",0,10790,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1344,0,0,0,0,0,0,0,6945,114,0,0,0,0,0,0,0,0,0,0,0,0,269,176,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0
"S_00617",0,8117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,534,0,0,0,0,0,0,0,6641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0
"S_00713",0,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,356,0,0,0,0,0,0,0,2431,393,0,0,0,0,0,0,0,0,79,0,0,0,154,198,0,0,0,94,0,277,0,0,0,0,0,0,0,0,0
"S_00809",0,8262,0,0,0,0,0,0,0,0,0,0,0,0,52,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,1162,0,0,0,0,0,0,0,5632,1011,0,0,0,0,0,0,0,0,181,0,0,0,246,190,0,0,0,117,0,864,0,0,0,0,0,0,0,0,0
"S_00905",0,7536,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,699,0,0,0,0,0,0,0,4145,901,0,0,0,0,0,0,0,0,104,0,0,0,169,142,0,0,0,153,0,257,0,0,0,0,0,0,0,0,0
"S_01001",0,9537,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,450,0,0,0,0,0,0,0,4716,1117,0,0,0,0,0,0,0,0,75,0,0,0,0,90,0,0,0,90,0,105,0,0,0,0,0,0,0,0,0
"S_01097",0,18278,0,0,0,0,0,0,0,0,0,0,0,0,55,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,369,0,0,0,0,0,0,0,5862.5,1223.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,45,0,0,0,196,0,121,0,0,0,0,0,0,0,0,0
"S_01193",0,27019,0,0,0,0,0,0,0,0,0,0,0,0,110,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,288,0,0,0,0,0,0,0,7009,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,137,0,0,0,0,0,0,0,0,0
"S_01289",0,7144,0,0,0,0,0,0,0,0,0,0,0,0,84,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,3488,832,0,0,0,0,0,0,0,0,92,0,0,0,0,202,0,0,0,34,0,118,0,0,0,0,0,0,0,0,0
"S_01385",0,8584,0,0,0,0,0,0,0,0,0,0,0,0,175,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,134,0,0,0,0,0,0,0,2527,914,0,0,0,0,0,0,0,0,99,0,0,0,0,116,0,0,0,41,0,87,0,0,0,0,0,0,0,0,0
"S_01481",0,16229,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,1248,143,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
"S_01577",0,8992,0,0,0,0,0,0,0,0,0,0,0,0,184,172,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,95,58,0,0,0,0,0,0,0,1903,717,0,0,0,0,0,0,0,0,187,0,0,0,0,135,0,0,0,15,0,49,0,0,0,0,0,0,0,0,0
"S_01673",0,19237,0,0,0,0,0,0,0,0,0,0,0,0,89,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129,494,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
"S_01769",0,34021,0,0,0,0,0,0,0,0,0,0,0,0,171,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,934,0,0,0,0,0,0,0,86,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01865",0,25944,0,0,0,0,0,0,0,0,0,0,0,0,109,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,733,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01961",0,28515,0,0,0,0,0,0,0,0,0,0,0,0,282,1255,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1056,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
